Month,Not in employment,In employment,Total,Notes
,,,
Apr-18,539584,316966,856550,
May-18,565741,336869,902614,
Jun-18,600697,361290,961991,
Jul-18,636406,383153,1019559,
Aug-18,688054,405455,1093509,
Sep-18,745440,447133,1192572,
Oct-18,794605,491519,1286127,
Nov-18,851017,538174,1389187,
Dec-18,933827,601315,1535143,
Jan-19,1014434,603614,1618043,
Feb-19,1121894,584717,1706607,
Mar-19 (r),1201967,614312,1816280, " revised on 01Mar19 "
Apr-19 (p),1307144,651985,1959125, " provisional - will be revised 01May19  "
,,,
,,,


